SEASON_ID,SEASON,STAGE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
21996,1996-97 Season,Regular Season,29600918,1610612749,MIL,Milwaukee,0.513,0.278,0.17800000000000002,0.222,0.557,0.529,0.22,0.475
21996,1996-97 Season,Regular Season,29600902,1610612764,WAS,Washington,0.562,0.222,0.15,0.375,0.43,0.203,0.17,0.348
21996,1996-97 Season,Regular Season,29600902,1610612763,VAN,Vancouver,0.43,0.203,0.17,0.28300000000000003,0.562,0.222,0.15,0.425
21996,1996-97 Season,Regular Season,29600878,1610612764,WAS,Washington,0.512,0.235,0.195,0.244,0.426,0.469,0.16,0.41200000000000003
21996,1996-97 Season,Regular Season,29600878,1610612755,PHI,Philadelphia,0.426,0.469,0.16,0.373,0.512,0.235,0.195,0.37799999999999995
21996,1996-97 Season,Regular Season,29600839,1610612764,WAS,Washington,0.445,0.33,0.11699999999999999,0.389,0.47200000000000003,0.35200000000000004,0.14300000000000002,0.40399999999999997
21996,1996-97 Season,Regular Season,29600839,1610612755,PHI,Philadelphia,0.47200000000000003,0.35200000000000004,0.14300000000000002,0.34600000000000003,0.445,0.33,0.11699999999999999,0.40700000000000003
21996,1996-97 Season,Regular Season,29600820,1610612764,WAS,Washington,0.569,0.488,0.17300000000000001,0.381,0.475,0.513,0.18899999999999997,0.38799999999999996
21996,1996-97 Season,Regular Season,29600820,1610612744,GSW,Golden State,0.475,0.513,0.18899999999999997,0.245,0.569,0.488,0.17300000000000001,0.429
21996,1996-97 Season,Regular Season,29600804,1610612764,WAS,Washington,0.494,0.366,0.168,0.25,0.5870000000000001,0.302,0.1,0.225
21996,1996-97 Season,Regular Season,29600804,1610612747,LAL,Los Angeles,0.5870000000000001,0.302,0.1,0.175,0.494,0.366,0.168,0.295
21996,1996-97 Season,Regular Season,29600788,1610612764,WAS,Washington,0.551,0.34600000000000003,0.222,0.317,0.45299999999999996,0.33799999999999997,0.23199999999999998,0.23800000000000002
21996,1996-97 Season,Regular Season,29600788,1610612754,IND,Indiana,0.45299999999999996,0.33799999999999997,0.23199999999999998,0.214,0.551,0.34600000000000003,0.222,0.366
21996,1996-97 Season,Regular Season,29600774,1610612764,WAS,Washington,0.486,0.17600000000000002,0.158,0.111,0.486,0.31,0.127,0.163
21996,1996-97 Season,Regular Season,29600774,1610612765,DET,Detroit,0.486,0.31,0.127,0.11599999999999999,0.486,0.17600000000000002,0.158,0.2
21996,1996-97 Season,Regular Season,29600758,1610612764,WAS,Washington,0.526,0.33299999999999996,0.15,0.22699999999999998,0.581,0.33799999999999997,0.17800000000000002,0.325
